2023-10-27 09:47:18.298 [info] Extension host with pid 4278 started
2023-10-27 09:53:23.133 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.134 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.134 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.136 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.136 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.137 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.137 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.138 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.138 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.666 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.666 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.666 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.666 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.666 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:24.666 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.668 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.668 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.669 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
